OSEBuildingID	%NaturalGas(kBtu)	%SteamUse(kBtu)	BuildingType	NumberofBuildings	NumberofFloors	PropertyGFATotal	ENERGYSTARScore	SourceEUI(kBtu/sf)	SiteEnergyUse(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	tranche_date	BuildingAge	groups_neighborhood	groups_PrimaryPropertyType	GFABuildingRate
50	0.062358697355139825	-5.199337582605575	SPS-District K-12	-5.199337582605575	-0.25905710256854775	0.15723863749307268	1.597203104737417	-0.6990012360034316	-0.3786025976935704	-0.3675468063647397	-0.32459054780791374	tranche_date3	26	Various	Various	5.19933758270342
52	0.15487924165305944	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.5894808589473018	-0.7606037360681944	0.28061316395856256	0.5860196565431145	0.6292765711789452	0.391549940946073	tranche_date2	55	Various	Various	5.19933758270342
53	0.5964358263955574	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.11335469783904013	0.7945871296662124	-0.3351990350348936	0.09346646414282511	0.353785790669488	0.5169222700797942	tranche_date1	116	Various	Various	5.19933758270342
54	1.13940195797646	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	1.0431724001258476	1.371109957500586	-0.7533712019887272	0.6748609769058032	1.0535661778422127	0.4243059707366321	tranche_date2	62	North	Various	5.19933758270342
55	0.1486726044913109	-5.199337582605575	NonResidential	-5.199337582605575	0.23058751152675497	0.3677035303222549	-0.13858315006072774	-0.7176941489327423	-0.1489584546250928	-0.06821275517195577	-0.21256877768109023	tranche_date1	105	Various	Commerce	5.19933758270342
56	0.03160396481495059	-5.199337582605575	NonResidential	-5.199337582605575	2.0132515139943474	1.4896930719799273	0.37263672242024715	-0.17418070757860415	1.2502787153083332	1.182969105608013	0.022606789649600032	tranche_date2	47	Various	Various	-2.3957752680069717
57	-5.199337582605575	-5.199337582605575	NonResidential	-5.199337582605575	0.8224485747698438	1.0237341401481912	0.6325093385485111	0.41060427915774833	0.897222964500979	0.20559124474506113	-0.5871332344870732	tranche_date2	43	Various	Various	5.19933758270342
58	0.4937555406064519	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.20979066640358673	-0.13858315006072774	-1.2139053870294743	-0.6544031908762978	-0.31428473203936513	-0.30874563078475853	tranche_date1	96	Various	Various	5.19933758270342
59	-5.199337582605575	-5.199337582605575	NonResidential	-5.199337582605575	1.321385838598872	0.2375802691166441	-1.597203104737417	1.388148226077489	0.432231105526938	-0.26823955491448737	-0.27467344534696697	tranche_date1	106	Various	Various	5.19933758270342
60	1.4277047579071325	-5.199337582605575	NonResidential	-5.199337582605575	-0.25905710256854775	0.1132188840505596	-0.13858315006072774	1.5542627708990233	1.204007616556595	1.704797503358893	2.3662220650413532	tranche_date1	90	Various	Various	5.19933758270342
62	-0.22757363108131312	-5.199337582605575	NonResidential	-5.199337582605575	1.8799107653216565	0.6239079403826254	0.4575238145055736	0.2513915781257267	0.40371113144533777	0.11722252515882066	-0.27467344534696697	tranche_date1	86	Various	Various	-0.8325717587892856
63	0.12371358866783648	1.6199439512504572	NonResidential	-5.199337582605575	2.2259523058891757	2.3352726011232336	-0.6294444638217898	0.4683746381226802	2.886292767542347	5.19933758270342	0.9371189110945244	tranche_date3	34	Various	Various	-0.906390009343536
65	0.38343972617362726	-5.199337582605575	NonResidential	-5.199337582605575	1.2253566257226682	0.371699030503225	1.749756610606143	0.7082976215283692	0.4808781518467362	0.6529795677114444	0.6479240601651302	tranche_date3	31	Various	Various	5.19933758270342
